name	bg17_1.fastq.AR.sorted.bam	bg22.fastq.AR.sorted.bam	bg5.fastq.AR.sorted.bam	bg6.fastq.AR.sorted.bam	bg7.fastq.AR.sorted.bam	bg8.fastq.AR.sorted.bam	sba15.fastq.AR.sorted.bam	sba16.fastq.AR.sorted.bam	sba17_1.fastq.AR.sorted.bam	sba19_1.fastq.AR.sorted.bam	sba20_1.fastq.AR.sorted.bam	sba38.fastq.AR.sorted.bam	sba46.fastq.AR.sorted.bam	sba47.fastq.AR.sorted.bam	sba48.fastq.AR.sorted.bam	sba49.fastq.AR.sorted.bam	sba50.fastq.AR.sorted.bam
AJ243491.gene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M37699.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP001138.1.gene611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HE993884.1.gene8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB733453.1.gene1	0	0	0	0	0	0	0	3	1	2	1	1	1	0	0	0	0
AB551737.1.gene1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
AJ011428.2.gene1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2
AM176547.2.gene1	0	0	0	0	0	0	0	5	0	1	0	0	1	2	1	1	1
AM176549.2.gene1	0	0	0	0	1	1	3	0	1	2	2	1	0	1	0	2	4
AF299299.1.gene1	0	1	0	0	1	0	1	0	2	1	1	1	11	0	0	1	1
AM087453.1.gene1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0
AM176546.2.gene1	0	0	0	0	0	0	1	7	0	1	0	0	0	4	0	0	0
AM176548.2.gene1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0
AM176550.2.gene1	0	2	0	0	0	0	0	1	0	3	0	3	3	2	0	0	1
GQ244501.1.gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY070258.1.gene1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
AM176551.2.gene1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	2	0
AM176555.2.gene1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1
AM176557.2.gene1	0	0	5	2	0	1	0	1	0	0	0	0	1	0	2	0	0
AM176552.2.gene1	0	0	7	5	1	40	1	0	0	1	3	1	0	0	1	1	1
AM176553.2.gene1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1
AM176558.2.gene1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0
AM176554.2.gene1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	3	0	1
AM176556.2.gene1	0	0	3	5	1	1	0	0	1	2	1	0	0	0	1	1	0
AY790341.1.gene1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0
DQ174304.1.gene1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0
AY289548.1.gene1	0	0	0	2	0	0	0	0	0	1	0	2	0	1	1	0	1
DQ174306.1.gene1	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0
DQ174308.1.gene1	0	0	0	0	0	1	0	1	0	1	0	1	0	3	3	1	3
DQ013287.1.gene1	0	0	1	0	0	1	0	0	3	0	1	2	0	0	2	1	0
DQ174305.1.gene1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DQ174307.1.gene1	0	1	3	2	1	1	2	0	5	2	3	2	1	0	0	0	2
DQ328802.1.gene1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3
Y17581.1.gene1	0	0	0	0	0	0	2	0	5	3	3	1	0	1	0	0	1
EF373971.1.gene1	0	0	0	0	0	0	0	1	1	3	0	1	0	1	0	0	0
JQ388884.1.gene1	0	0	1	0	0	0	1	1	0	1	0	1	0	2	1	2	0
EF373973.1.gene1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0
EU274581.1.gene1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0
Y11069.1.gene1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0
EF373970.1.gene1	0	0	0	0	0	0	2	0	1	1	0	1	1	2	2	1	0
JX013655.1.gene1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
JX268752.1.gene1	0	4	0	1	1	0	6	1	2	4	10	7	0	0	1	9	10
EF373969.1.gene1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
AF293345.1.gene1	0	0	1	4	0	0	0	0	1	1	1	0	1	0	0	0	0
EU342351.1.gene1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0
Y16410.1.gene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JF812965.1.gene1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0
JQ029959.1.gene1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0
AF208796.2.gene1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0
EF373972.1.gene1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0
AF226622.1.gene1	0	3	1	2	0	2	2	3	4	0	0	0	0	0	2	1	0
EU684753.1.gene1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1
AF227204.1.gene1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
JX268631.1.gene1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
AF164577.1.gene1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1
AY259119.1.gene1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	2	0	1
AY277255.2.gene1	0	0	0	1	0	0	1	0	1	0	0	1	0	2	0	1	1
AJ866284.2.gene1	0	0	0	0	0	0	1	1	2	1	1	0	1	0	1	2	0
DQ322460.1.gene1	0	0	0	1	0	0	0	0	2	0	1	1	1	3	3	0	0
AY210887.1.gene1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
AY528718.1.gene1	0	21	36	44	40	24	36	41	66	63	33	39	46	65	126	59	84
AY223863.1.gene1	0	0	0	4	0	0	0	0	0	0	1	0	1	0	3	0	0
DQ054528.1.gene1	0	1	0	0	0	0	2	1	4	1	3	1	2	0	0	0	0
EU586041.1.gene1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1
