name	description
VFG0676	VFG0676 lef - anthrax toxin lethal factor precursor, lef, [Bacillus anthracis Sterne] (VF0142)
VFG0677	VFG0677 pagA - anthrax toxin moiety, protective antigen, pagA [Bacillus anthracis Sterne] (VF0142)
VFG0678	VFG0678 cya - calmodulin sensitive adenylate cyclase, edema  factor, cya, [Bacillus anthracis Sterne] (VF0142)
VFG0679	VFG0679 dep/capD - <gamma-glutamyltranspeptidase [Bacillus anthracis] (VF0141)
VFG0680	VFG0680 capA - CapA [Bacillus anthracis] (VF0141)
VFG0681	VFG0681 capC - CapC [Bacillus anthracis] (VF0141)
VFG0682	VFG0682 capB - CapB [Bacillus anthracis] (VF0141)
VFG2040	VFG2040 atxA - trans-acting positive regulator, atxA [Bacillus anthracis Sterne] (VF0332)
VFG2231	VFG2231 virB2 - virB2 protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2232	VFG2232 virB3 - virB3 protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2233	VFG2233 virB4 - virB4 protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2234	VFG2234 virB5 - 17-kDa antigen precursor [Bartonella henselae Houston-1] (VF0369)
VFG2235	VFG2235 virB6 - virB protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2236	VFG2236 virB7 - 15-kDa antigen protein [Bartonella henselae Houston-1] (VF0369)
VFG2237	VFG2237 virB8 - virB8 protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2238	VFG2238 virB9 - virB9 protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2239	VFG2239 virB10 - virB10 protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2240	VFG2240 virB11 - virB11 protein homolog [Bartonella henselae Houston-1] (VF0369)
VFG2241	VFG2241 bepA - Putative cell filamentation protein [Bartonella henselae Houston-1] (VF0369)
VFG2242	VFG2242 virD4 - Conjugal transfer protein trag [Bartonella henselae Houston-1] (VF0369)
VFG2243	VFG2243 bepB - BepB protein [Bartonella henselae Houston-1] (VF0369)
VFG2244	VFG2244 bepC - BepC protein [Bartonella henselae Houston-1] (VF0369)
VFG2245	VFG2245 bepD - BepD protein [Bartonella henselae Houston-1] (VF0369)
VFG2246	VFG2246 bepE - BepE protein [Bartonella henselae Houston-1] (VF0369)
VFG2247	VFG2247 bepF - BepF protein [Bartonella henselae Houston-1] (VF0369)
VFG2248	VFG2248 bepG - BepG protein [Bartonella henselae Houston-1] (VF0369)
VFG2249	VFG2249 trwN - trwN protein [Bartonella henselae Houston-1] (VF0372)
VFG2250	VFG2250 trwL1 - trwL1 protein [Bartonella henselae Houston-1] (VF0372)
VFG2251	VFG2251 trwL2 - trwL2 protein [Bartonella henselae Houston-1] (VF0372)
VFG2252	VFG2252 trwL3 - trwL3 protein [Bartonella henselae Houston-1] (VF0372)
VFG2253	VFG2253 trwL4 - trwL4 protein [Bartonella henselae Houston-1] (VF0372)
VFG2254	VFG2254 trwL5 - trwL5 protein [Bartonella henselae Houston-1] (VF0372)
VFG2255	VFG2255 trwL6 - trwL6 protein [Bartonella henselae Houston-1] (VF0372)
VFG2256	VFG2256 trwL7 - trwL7 protein [Bartonella henselae Houston-1] (VF0372)
VFG2257	VFG2257 trwL8 - trwL8 protein [Bartonella henselae Houston-1] (VF0372)
VFG2258	VFG2258 trwM - trwM protein [Bartonella henselae Houston-1] (VF0372)
VFG2259	VFG2259 trwK - trwK protein [Bartonella henselae Houston-1] (VF0372)
VFG2260	VFG2260 trwJ1 - trwJ1 protein [Bartonella henselae Houston-1] (VF0372)
VFG2261	VFG2261 trwI1 - trwI1 protein [Bartonella henselae Houston-1] (VF0372)
VFG2262	VFG2262 trwH1 - hypothetical protein [Bartonella henselae Houston-1] (VF0372)
VFG2263	VFG2263 trwJ2 - trwJ2 protein [Bartonella henselae Houston-1] (VF0372)
VFG2264	VFG2264 trwI2 - trwI2 protein [Bartonella henselae Houston-1] (VF0372)
VFG2265	VFG2265 trwH2 - hypothetical protein [Bartonella henselae Houston-1] (VF0372)
VFG2266	VFG2266 trwG - trwG protein [Bartonella henselae Houston-1] (VF0372)
VFG2267	VFG2267 trwF - trwF protein [Bartonella henselae Houston-1] (VF0372)
VFG2268	VFG2268 trwE - trwE protein [Bartonella henselae Houston-1] (VF0372)
VFG2269	VFG2269 trwD - trwD protein [Bartonella henselae Houston-1] (VF0372)
VFG2270	VFG2270 badA - Surface protein/Bartonella adhesin [Bartonella henselae Houston-1] (VF0371)
VFG2271	VFG2271 vompD - Surface protein/Bartonella adhesin [Bartonella quintana Toulouse] (VF0371)
VFG2272	VFG2272 vompA - Surface protein/Bartonella adhesin [Bartonella quintana Toulouse] (VF0371)
VFG2273	VFG2273 vompC - Surface protein/Bartonella adhesin [Bartonella quintana Toulouse] (VF0371)
VFG0001	VFG0001 fhaB - filamentous hemagglutinin/adhesin [Bordetella pertussis Tohama I] (VF0025)
VFG0002	VFG0002 prn - pertactin precursor [Bordetella pertussis Tohama I] (VF0027)
VFG0003	VFG0003 fim2 - serotype 2 fimbrial subunit precursor [Bordetella pertussis Tohama I] (VF0031)
VFG0004	VFG0004 fim3 - serotype 3 fimbrial subunit precursor [Bordetella pertussis Tohama I] (VF0031)
VFG0005	VFG0005 fimX - fimbrial protein [Bordetella pertussis Tohama I] (VF0031)
VFG0007	VFG0007 fimB - chaperone protein [Bordetella pertussis Tohama I] (VF0031)
VFG0008	VFG0008 fimC - outer membrane usher protein precursor [Bordetella pertussis Tohama I] (VF0031)
VFG0009	VFG0009 fimD - fimbrial adhesin [Bordetella pertussis Tohama I] (VF0031)
VFG0010	VFG0010 tcfA - tracheal colonization factor precursor [Bordetella pertussis Tohama I] (VF0032)
VFG0011	VFG0011 ptxA - pertussis toxin subunit 1 precursor [Bordetella pertussis Tohama I] (VF0026)
VFG0012	VFG0012 ptxB - pertussis toxin subunit 2 precursor [Bordetella pertussis Tohama I] (VF0026)
VFG0013	VFG0013 ptxD - pertussis toxin subunit 4 precursor [Bordetella pertussis Tohama I] (VF0026)
VFG0014	VFG0014 ptxE - pertussis toxin subunit 5 precursor [Bordetella pertussis Tohama I] (VF0026)
VFG0015	VFG0015 ptxC - pertussis toxin subunit 3 precursor [Bordetella pertussis Tohama I] (VF0026)
VFG0016	VFG0016 ptlA - pertussis toxin transport protein [Bordetella pertussis Tohama I] (VF0026)
VFG0017	VFG0017 ptlB - pertussis toxin transport protein [Bordetella pertussis Tohama I] (VF0026)
VFG0018	VFG0018 ptlC - putative bacterial secretion system protein [Bordetella pertussis Tohama I] (VF0026)
VFG0019	VFG0019 ptlD - putative membrane protein [Bordetella pertussis Tohama I] (VF0026)
VFG0020	VFG0020 ptlI - putative bacterial secretion system protein [Bordetella pertussis Tohama I] (VF0026)
VFG0021	VFG0021 ptlE - putative bacterial secretion system protein [Bordetella pertussis Tohama I] (VF0026)
VFG0022	VFG0022 ptlF - putative bacterial secretion system protein [Bordetella pertussis Tohama I] (VF0026)
VFG0023	VFG0023 ptlG - putative bacterial secretion system protein [Bordetella pertussis Tohama I] (VF0026)
VFG0024	VFG0024 ptlH - putative bacterial secretion system protein [Bordetella pertussis Tohama I] (VF0026)
VFG0025	VFG0025 cyaA - bifunctional hemolysin-adenylate cyclase precursor [Bordetella pertussis Tohama I] (VF0028)
VFG0026	VFG0026 dnt - dermonecrotic toxin [Bordetella pertussis Tohama I] (VF0029)
VFG0027	VFG0027 brkA - serum resistance protein [Bordetella pertussis Tohama I] (VF0034)
VFG0028	VFG0028 brkB - serum resistance protein [Bordetella pertussis Tohama I] (VF0034)
VFG0029	VFG0029 bplL - lipopolysaccharide biosynthesis protein [Bordetella pertussis Tohama I] (VF0033)
